,,,,B,,,,,,
,,,,,,,,,,
,City & State,College Name,Stream,Course,Specializations,Semester Fee,Fee (Annual),Duration,Placement Partners,Special Note
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Computer Science & Engineering (Data Science),"₹70,750","₹1,41,500",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Biotechnology,"₹75,024.50","₹1,50,049",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Biotechnology,"₹77,115.50","₹1,54,231",3 Years,,Lateral Entry
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Civil Engineering,"₹75,024.50","₹1,50,049",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Civil Engineering,"₹77,115.50","₹1,54,231",3 Years,,Lateral Entry
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Mechanical Engineering,"₹75,024.50","₹1,50,049",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Mechanical Engineering,"₹77,115.50","₹1,54,231",3 Years,,Lateral Entry
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Computer Science & Engineering,"₹88,066.50","₹1,76,133",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Computer Science & Engineering,"₹90,589","₹1,81,178",3 Years,,Lateral Entry
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Computer Science & Engineering,"₹77,115.50","₹1,54,231",3 Years,,Lateral Entry (Note: Source text lists a second fee for CSE Lateral Entry)
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Computer Science & Engineering (Software Development Program),"₹70,750","₹1,41,500",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Electrical Engineering,"₹75,024.50","₹1,50,049",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Electrical Engineering,"₹77,115.50","₹1,54,231",3 Years,,Lateral Entry
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Mechanical Engineering (Robotics & Automation),"₹70,750","₹1,41,500",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Mechanical Engineering (Automobile Engineering),"₹70,750","₹1,41,500",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Mechanical Engineering (Mechatronics),"₹70,750","₹1,41,500",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Electronics & Communication Engineering,"₹75,024.50","₹1,50,049",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Electronics & Communication Engineering,"₹77,115.50","₹1,54,231",3 Years,,Lateral Entry
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Electronics & Communication Engineering (with optional Internet of Things),"₹88,066.50","₹1,76,133",4 Years,,
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Electronics & Communication Engineering (with optional Internet of Things),"₹74,425","₹1,48,850",3 Years,,Lateral Entry
,"Mullana, Haryana",MMU Mullana,Engineering,B.Tech,Computer Science & Engineering (Cloud Technology & Information Science),"₹70,750","₹1,41,500",4 Years,,
,,,,,,,,,,
,,,,,,,,,,
,City & State,College Name,Stream,Course,Specializations,Semester Fee,Fee (Annual),Duration,Placement Partners,Special Note
,"Mullana, Haryana",MMU Mullana,Management,MBA,Finance Management,"₹81,073.50","₹1,62,147",2 Years,,"Admission based on CBSE 12th, MAT, CMAT"
,"Mullana, Haryana",MMU Mullana,Management,MBA,,"₹81,099","₹1,62,198",2 Years,,"Admission based on CBSE 12th, MAT, CMAT"
,"Mullana, Haryana",MMU Mullana,Management,MBA,Marketing Management,"₹81,073.50","₹1,62,147",2 Years,,"Admission based on CBSE 12th, MAT, CMAT"
,"Mullana, Haryana",MMU Mullana,Management,MBA,Information Technology,"₹81,073.50","₹1,62,147",2 Years,,"Admission based on CBSE 12th, MAT, CMAT"
,"Mullana, Haryana",MMU Mullana,Management,MBA,International Business Management,"₹81,073.50","₹1,62,147",2 Years,,"Admission based on CBSE 12th, MAT, CMAT"
,"Mullana, Haryana",MMU Mullana,Management,MBA,Hospital Administration,"₹98,900","₹1,97,800",2 Years,,"Admission based on CBSE 12th, MAT, CMAT"
,"Mullana, Haryana",MMU Mullana,Management,MBA,Hospitality Management,"₹81,073.50","₹1,62,147",2 Years,,"Admission based on CBSE 12th, MAT, CMAT"
,"Mullana, Haryana",MMU Mullana,Management,MBA,Human Resource Management,"₹81,073.50","₹1,62,147",2 Years,,"Admission based on CBSE 12th, MAT, CMAT"
